Airtable UUID,Total_Covered_Lives,Weight_Rank_1_to_5
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,352125,5
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,352125,5
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,352125,5
CHIR_IDrecCKd9ou6oLEKtG8-316796-CACigna National ,887262,5
CHIR_IDrec2wHHlTA6YHpzo6-316797-CACigna National ,887262,5
CHIR_IDrecFVf6CGLVgwPnNp-316787-CACigna National ,887262,5
CHIR_IDrecz9PX0eb2hqzpIV-316786-CACigna National ,887262,5
CHIR_IDrecjT083Nk14tOagv-316788-CACigna National ,887262,5
CHIR_IDrecYMNmvk80tSBU2X-301803-CAOscar and Cigna,887262,5
CHIR_IDreca9XzQkdTf86EUo-316794-CACigna National ,887262,5
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,887262,5
CHIR_IDrecZp60qazvEOCOIe-316793-CACigna National ,887262,5
CHIR_IDrecwKFCq7JLOuT0Bi-316789-CACigna National ,887262,5
CHIR_IDrecusdGJp8vXTL9qw-316792-CACigna National ,887262,5
CHIR_IDrec3JRUHq6kAMUXBe-268519-CACigna National ,887262,5
CHIR_IDrecx3sTGQuwDRV5AK-268520-CACigna National ,887262,5
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,887262,5
CHIR_IDrectHaioBXOsI6cqX-268501-CACigna Advantage,887262,5
CHIR_IDreco8dzvWMiavZF7e-268500-CACigna Advantage,887262,5
CHIR_IDrec5boxnyE0YH8kjB-268497-CACigna Performan,887262,5
CHIR_IDrecsyKu9FxwVFcOyd-268498-CACigna Performan,887262,5
CHIR_IDrecLf3fWd431A9nHM-268514-CACigna Legacy (P,887262,5
CHIR_IDrecYVBm9MdEPWXQeU-268515-CACigna Legacy (P,887262,5
CHIR_IDrecnYvV4HVyFnTJWs-268496-CACigna Specialty,887262,5
CHIR_IDrecsV0fdNb8FvaEPw-268491-CACigna Value 3-T,887262,5
CHIR_IDrecOujHsueib5cDzA-268493-CACigna Value 4-T,887262,5
CHIR_IDrecmnXCnXMOZRdmLV-268481-CACigna Standard ,887262,5
CHIR_IDreczN89f6WNs77hqx-268486-CACigna Specialty,887262,5
