Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B,New Market Segment(s),Plan Tier Number
Standard Control Choice Plan Chronic Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecCzhSWt6No6SkGW-341598-AKStandard Contro,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Control Choice Plan Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecLVjkKWJGLYeT58-341596-AKStandard Contro,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Control Choice Plan Preventive Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecUjVns9RNCU3vbt-341597-AKStandard Contro,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Control Choice Plan with ACSF Drug List (Health Plan),Aetna,Unclear,Ten or More,CHIR_IDrecx5fFJx0Gf2mFCx-341602-AKStandard Contro,"Aetna, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Control Choice Plan with ACSF Excluded Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrec4tKAoU4OV9XjWG-341606-AKStandard Contro,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Control Choice Plan with ACSF Preventive Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecc20Lra6MlBlT3N-341604-AKStandard Contro,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Control Formulary Exclusions Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecgcz3D7sTJNA50W-315261-AKStandard Contro,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Control Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecHuqUEyqll1D7Mf-315260-AKStandard Contro,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Opt Out Plan and Basic Control Plan Preventive Medication List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecsqWDaJVoKA03wz-268573-AKStandard Opt Ou,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Opt Out Plan Drug List (CA Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrec9WpSLIGFIa7NTl-341608-CAStandard Opt Ou,"Aetna, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Opt Out Plan Preventive Medicine (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecr05URW69NKWSeY-229633-AKStandard Opt Ou,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Opt-Out Plan Prescription Drug List (CA Health Plan),Aetna,Unclear,Ten or More,CHIR_IDrecAXi2XVzlG9ZBUi-268465-CAStandard Opt-Ou,"Aetna, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Plan Chronic Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecttM09WeT2ijYEZ-200239-AKStandard Plan C,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Plan Formulary Exclusions Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecYSgTg5drYotEv8-191417-AKStandard Plan F,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Plan Preferred Drug List (Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrecaNmGxleRLQyfPo-191415-AKStandard Plan P,"Aetna, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Plan Preventive Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrec1yp0Y7tKAwRZbM-200238-AKStandard Plan P,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Anthem 3 Tier National Drug List,Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec9r4tcLFeHXRq6B-137265-AKAnthem 3 Tier N,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Anthem National Drug List Closed Formulary (VA),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecn9eIEB50Qb1SWJ-290074-AKAnthem National,"Anthem, Small & Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
