Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B,New Market Segment(s),Plan Tier Number
Select Drug List 4-Tier Split (Small Group) (CT),Anthem,Individual,Four - Five,CHIR_IDrecbfwfdwqYaI0FpD-290095-CTSelect Drug Lis,"Anthem, Individual and Family Plan, 4-5 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
Small Group Select 3-Tier Drug List (CT),Anthem,Small Group,Four - Five,CHIR_IDrecnadZFUBgMPsHer-229256-CTSmall Group Sel,"Anthem, Small Group, 4-5 CGMs Covered","3-Tier Plan, Small Group",Small Group Plan,3-Tier Plan
Three Tier National Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec8oj1dMgvZ8Eqwj-313031-CTThree Tier Nati,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Traditional Five Tier Drug List (CT Health Plan),Anthem,Unclear,Ten or More,CHIR_IDrecPNFjdSaxwsVElj-340181-CTTraditional Fiv,"Anthem, Unclear, 10+ CGMs Covered","5-Tier Plan, Unclear",Unclear,5-Tier Plan
Traditional Four Tier Drug List (CT Health Plan),Anthem,Unclear,Ten or More,CHIR_IDrecFYRU4rrf6Lp7Ta-340180-CTTraditional Fou,"Anthem, Unclear, 10+ CGMs Covered","4-Tier Plan, Unclear",Unclear,4-Tier Plan
Traditional Open 3-Tier Drug List (NY),Anthem,Unclear,Ten or More,CHIR_IDrecRUCLyDIeimfuhV-229512-NYTraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","3-Tier Plan, Unclear",Unclear,3-Tier Plan
Traditional Open 3-Tier Drug List Without Contraceptives (NY),Anthem,Unclear,Ten or More,CHIR_IDrecAbEJr9NWSO4kNF-290138-NYTraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","3-Tier Plan, Unclear",Unclear,3-Tier Plan
Traditional Open Drug List 3-Tier,Anthem,Unclear,Ten or More,CHIR_IDrecCM3xlFx8z5PKAd-190980-AKTraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","3-Tier Plan, Unclear",Unclear,3-Tier Plan
Traditional Open Drug List 3-Tier (CDI) (CA),Anthem,Unclear,Ten or More,CHIR_IDrecOjFTvQHjqejWhu-233840-AKTraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","3-Tier Plan, Unclear",Unclear,3-Tier Plan
Traditional Open Drug List 3-Tier (DMHC) (CA),Anthem,Unclear,Ten or More,CHIR_IDrecR6shwRDJ1EZP81-233845-CATraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","3-Tier Plan, Unclear",Unclear,3-Tier Plan
Traditional Open Drug List 3-Tier (VA),Anthem,Unclear,Ten or More,CHIR_IDrecZYPwJnUisehrG4-197807-VATraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","3-Tier Plan, Unclear",Unclear,3-Tier Plan
Traditional Open Drug List 4-Tier,Anthem,Unclear,Ten or More,CHIR_IDrec9YaaNtFblIMYD2-190989-AKTraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","4-Tier Plan, Unclear",Unclear,4-Tier Plan
Traditional Open Drug List 4-Tier (CDI) (CA),Anthem,Unclear,Ten or More,CHIR_IDrec1mptlQ9IIffekC-233846-AKTraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","4-Tier Plan, Unclear",Unclear,4-Tier Plan
Traditional Open Drug List 4-Tier (DMHC) (CA),Anthem,Unclear,Ten or More,CHIR_IDrecn3W3M0XkDRsI85-233847-CATraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","4-Tier Plan, Unclear",Unclear,4-Tier Plan
Traditional Open Drug List 4-Tier (VA),Anthem,Unclear,Ten or More,CHIR_IDrecbmgPHpeRLNJ7lD-197809-VATraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","4-Tier Plan, Unclear",Unclear,4-Tier Plan
Traditional Open Drug List 5-Tier,Anthem,Unclear,Ten or More,CHIR_IDrecRyqoG0DW8GIx4y-190994-AKTraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","5-Tier Plan, Unclear",Unclear,5-Tier Plan
Traditional Open Drug List 5-Tier (CDI) (CA),Anthem,Unclear,Ten or More,CHIR_IDrec8zJ6mu4xa4PyqC-233848-AKTraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","5-Tier Plan, Unclear",Unclear,5-Tier Plan
Traditional Open Drug List 5-Tier (DMHC) (CA),Anthem,Unclear,Ten or More,CHIR_IDrecHULLvIQv0r1Tu2-233851-AKTraditional Ope,"Anthem, Unclear, 10+ CGMs Covered","5-Tier Plan, Unclear",Unclear,5-Tier Plan
Traditional Three Tier Drug List (CT Health Plan),Anthem,Unclear,Ten or More,CHIR_IDreczLobY6muPQEU3N-340179-CTTraditional Thr,"Anthem, Unclear, 10+ CGMs Covered","3-Tier Plan, Unclear",Unclear,3-Tier Plan
Balanced Dispensing Limits (Health Plan),BCBS Illinois,Large Group Plans,Eight - Nine,CHIR_IDrecOH12LYRK6vlbzR-231937-AKBalanced Dispen,"BCBS Illinois, Large Group, 8-9 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Balanced Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecD8bHXDAlYUuxnT-198167-AKBalanced Drug L,"BCBS Illinois, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Basic Annual Dispensing Limits List (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans,Individual Plans",Eight - Nine,CHIR_IDrec9DPMkR0s4bTm5J-252487-AKBasic Annual Di,"BCBS Illinois, Individual and Family Plan, Large Group Plan, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Basic Annual Drug List (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans,Individual Plans",Two - Three,CHIR_IDrecGZopZ7fSNLA3TF-213656-AKBasic Annual Dr,"BCBS Illinois, Individual and Family Plan, Large Group Plan, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Basic Dispensing Limits (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans,Individual Plans",Ten or More,CHIR_IDrecIX334jgCHe0VIZ-231935-AKBasic Dispensin,"BCBS Illinois, Individual and Family Plan, Large Group Plan, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Basic Drug List (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans,Individual Plans",Two - Three,CHIR_IDrecaFb1RpCNsr1lxH-136824-AKBasic Drug List,"BCBS Illinois, Individual and Family Plan, Large Group Plan, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Enhanced Annual Drug List (IL Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans",Two - Three,CHIR_IDrecvmwAISDn0AGfiT-290124-AKEnhanced Annual,"BCBS Illinois, Large Group Plan, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Large Group Plan, Unclear","Large Group Plan, Unclear",Non-Tiered Plan
Enhanced Annual Formulary Dispensing Limits (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans",Ten or More,CHIR_IDrecps26xB6wNUYp1u-238900-AKEnhanced Annual,"BCBS Illinois, Large Group Plan, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Large Group Plan, Unclear","Large Group Plan, Unclear",Non-Tiered Plan
Enhanced Drug List (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans",Two - Three,CHIR_IDrecskgWE9nCWTRM8V-136972-AKEnhanced Drug L,"BCBS Illinois, Large Group Plan, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Large Group Plan, Unclear","Large Group Plan, Unclear",Non-Tiered Plan
Enhanced Drug List Dispensing Limits (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans",Ten or More,CHIR_IDrec8WZnTw38YyIp5v-172343-AKEnhanced Drug L,"BCBS Illinois, Large Group Plan, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Large Group Plan, Unclear","Large Group Plan, Unclear",Non-Tiered Plan
Health Insurance Marketplace 4-Tier Drug List (HMO POS) (IL Health Plan),BCBS Illinois,Individual,Two - Three,CHIR_IDrec0Y84cLsYbBeZf0-311656-AKHealth Insuranc,"BCBS Illinois, Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
Health Insurance Marketplace 4-Tier Drug List (IL Health Plan),BCBS Illinois,Individual,Two - Three,CHIR_IDrecBM1DTSNPLoIDpg-311655-AKHealth Insuranc,"BCBS Illinois, Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
Health Insurance Marketplace 6-Tier Drug List (Health Plan),BCBS Illinois,Individual,Two - Three,CHIR_IDrecg0T5Hnx6o1Q583-170116-AKHealth Insuranc,"BCBS Illinois, Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
Health Insurance Marketplace Dispensing Limits (Health Plan),BCBS Illinois,Individual,Ten or More,CHIR_IDrec3uezi6ijl5G0T0-231934-AKHealth Insuranc,"BCBS Illinois, Individual and Family Plan, 10+ CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Health Insurance Marketplace HMO POS 6-Tier Drug List (Health Plan),BCBS Illinois,Individual,Two - Three,CHIR_IDrecJzZzCH9ija0PPs-198169-AKHealth Insuranc,"BCBS Illinois, Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
Multi-Tier Basic Annual Drug List (IL Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecY1yMDuvfCTMIEL-290123-AKMulti-Tier Basi,"BCBS Illinois, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Multi-Tier Basic Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDreczI5zkLoVB8BWKt-197341-AKMulti-Tier Basi,"BCBS Illinois, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Multi-Tier Enhanced Annual Drug List (IL Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecNPIWUxOwYoZ7k4-290125-AKMulti-Tier Enha,"BCBS Illinois, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Multi-Tier Enhanced Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrec7Ky23fW2U3T0P9-137357-AKMulti-Tier Enha,"BCBS Illinois, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Performance Annual Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecViSnqdX6t9Pkno-231285-AKPerformance Ann,"BCBS Illinois, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Performance Dispensing Limits (Health Plan),BCBS Illinois,Large Group Plans,Eight - Nine,CHIR_IDrec0i66DIWYKXlhh3-231938-AKPerformance Dis,"BCBS Illinois, Large Group, 8-9 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Performance Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrechEndiqjYrozhgE-151699-AKPerformance Dru,"BCBS Illinois, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Performance Select Dispensing Limits (Health Plan),BCBS Illinois,Large Group Plans,Ten or More,CHIR_IDrec0FJQOSZW2AlsYj-231939-AKPerformance Sel,"BCBS Illinois, Large Group, 10+ CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Performance Select Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecZQZuedYBByh8q9-151701-AKPerformance Sel,"BCBS Illinois, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Balanced Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,"BCBS Texas, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Balanced Drug List Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Ten or More,CHIR_IDrecsCwp0I0aO9jbWE-229477-AKBalanced Drug L,"BCBS Texas, Individual and Family Plan, Large Group Plan, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Basic Annual Drug List (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Two - Three,CHIR_IDrecfTSia0DRlaRVWT-231974-AKBasic Annual Dr,"BCBS Texas, Individual and Family Plan, Large Group Plan, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Basic Annual Drug List Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Ten or More,CHIR_IDrechJo0JdJnD1FlIw-238681-AKBasic Annual Dr,"BCBS Texas, Individual and Family Plan, Large Group Plan, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Basic Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,"BCBS Texas, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Basic Drug List Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Eight - Nine,CHIR_IDrec5cFJt2HMUQc5JK-229475-AKBasic Drug List,"BCBS Texas, Individual and Family Plan, Large Group Plan, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Enhanced Annual Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Ten or More,CHIR_IDrecdNkafG0cgJbNeF-290158-AKEnhanced Annual,"BCBS Texas, Individual and Family Plan, Large Group Plan, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Enhanced Annual Drug List (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Two - Three,CHIR_IDrec6P2jTGdvu5UrPP-229449-AKEnhanced Annual,"BCBS Texas, Individual and Family Plan, Large Group Plan, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Enhanced Drug List (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Two - Three,CHIR_IDrecLlzcaf1l2ElYN5-136972-AKEnhanced Drug L,"BCBS Texas, Individual and Family Plan, Large Group Plan, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Enhanced Drug List Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Ten or More,CHIR_IDrecvzXw6zp6eVcoPe-172343-AKEnhanced Drug L,"BCBS Texas, Individual and Family Plan, Large Group Plan, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large Group Plan, Unclear","Individual and Family Plan, Large Group Plan, Unclear",Non-Tiered Plan
Health Insurance Marketplace 4-Tier Drug List (Health Plan),BCBS Texas,Individual,Two - Three,CHIR_IDrecMUcnZLAncAAObT-311991-TXHealth Insuranc,"BCBS Texas, Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
Health Insurance Marketplace 6-Tier Drug List (Health Plan),BCBS Texas,Individual,Two - Three,CHIR_IDrecoO42qMIDBTzofX-171374-AKHealth Insuranc,"BCBS Texas, Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
Health Insurance Marketplace 6-Tier In-Vitro Fertilization (IVF) Drug List (Health Plan),BCBS Texas,Individual,Two - Three,CHIR_IDrecqe6xykF8rzBzmx-290128-AKHealth Insuranc,"BCBS Texas, Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
Health Insurance Marketplace Drug List Dispensing Limits (Health Plan),BCBS Texas,Individual,Ten or More,CHIR_IDrecNeAo44lGvtK5LC-229474-AKHealth Insuranc,"BCBS Texas, Individual and Family Plan, 10+ CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Multi-Tier Basic Annual Drug List (Health Plan),BCBS Texas,Large Group Plans,Two - Three,CHIR_IDrec8nKL0jBluspeRJ-229442-AKMulti-Tier Basi,"BCBS Texas, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Multi-Tier Basic Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,"BCBS Texas, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Multi-Tier Enhanced Annual Drug List (Health Plan),BCBS Texas,Large Group Plans,Two - Three,CHIR_IDrecBxhgkzCYpz6EWO-229454-AKMulti-Tier Enha,"BCBS Texas, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Multi-Tier Enhanced Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,"BCBS Texas, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Performance Annual Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,"BCBS Texas, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Performance Annual Drug List Dispensing Limits (Health Plan),BCBS Texas,Large Group Plans,Eight - Nine,CHIR_IDrecjm5u9PZEEByRoE-238948-AKPerformance Ann,"BCBS Texas, Large Group, 8-9 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Performance Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,"BCBS Texas, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Performance Drug List Dispensing Limits (Health Plan),BCBS Texas,Large Group Plans,Ten or More,CHIR_IDrecPmeP7pR0CdLmM8-172359-AKPerformance Dru,"BCBS Texas, Large Group, 10+ CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Performance Select Drug List (Health Plan),BCBS Texas,Large Group Plans,Two - Three,CHIR_IDrecQSu1ZAZA9mvB0k-152573-AKPerformance Sel,"BCBS Texas, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Performance Select Drug List Dispensing Limits (Health Plan),BCBS Texas,Large Group Plans,Ten or More,CHIR_IDrecUnRU6plx3NIfFC-172360-AKPerformance Sel,"BCBS Texas, Large Group, 10+ CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Blue Shield Performance Drug Formulary (Health Plan),Blue Shield California,Large Group Plans,Two - Three,CHIR_IDrecSsRmQCXeuWPfsc-371030-AKBlue Shield Per,"Blue Shield California, Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Plus Drug Formulary (DMHC) (Health Plan),Blue Shield California,Large Group Plans,Eight - Nine,CHIR_IDrecwEa0txF30LCwQc-267382-AKPlus Drug Formu,"Blue Shield California, Large Group, 8-9 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Plus Drug Formulary (Grandfathered CDI) (Health Plan),Blue Shield California,Large Group Plans,Eight - Nine,CHIR_IDrecoLjijgZkfLyanJ-137320-AKPlus Drug Formu,"Blue Shield California, Large Group, 8-9 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Plus Drug Formulary (Grandfathered DMHC) (Health Plan),Blue Shield California,Large Group Plans,Eight - Nine,CHIR_IDreci9D4SyC5GKCSou-267380-AKPlus Drug Formu,"Blue Shield California, Large Group, 8-9 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Standard Formulary (DMHC) (Health Plan),Blue Shield California,"Individual and Family Plans,Small Group Plans",Two - Three,CHIR_IDrecnEX1X1DNveXeAe-136813-AKStandard Formul,"Blue Shield California, Individual & Family and Small Group, 2-3 CGMs Covered","Non-Tiered Plan, Individual & Family and Small Group","Individual and Family Plan, Small Group Plan",Non-Tiered Plan
Value Drug Formulary (DMHC) (Health Plan),Blue Shield California,HMA & PPO Group Plans,Two - Three,CHIR_IDrecthjnRCE5vRUEYp-198183-AKValue Drug Form,"Blue Shield California, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Cigna Advantage 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Ten or More,CHIR_IDreco8dzvWMiavZF7e-268500-CACigna Advantage,"Cigna, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Advantage 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,"Cigna, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Advantage 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Ten or More,CHIR_IDrectHaioBXOsI6cqX-268501-CACigna Advantage,"Cigna, Small & Large Group, 10+ CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Advantage Four Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna HealthCare Premiere 4-Tier Prescription Drug List (VA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecABP8O2d7rCsqhL-342579-VACigna HealthCar,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Legacy (Performance) 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecLf3fWd431A9nHM-268514-CACigna Legacy (P,"Cigna, Small & Large Group, 8-9 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Legacy (Performance) 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,"Cigna, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Legacy (Performance) 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecYVBm9MdEPWXQeU-268515-CACigna Legacy (P,"Cigna, Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Legacy (Performance) 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Legacy (Standard) 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrec4Qr94xDlYrbRga-268504-CACigna Legacy (S,"Cigna, Small & Large Group, 8-9 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Legacy (Standard) 3-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecF2s1rGKZjNLRgl-268505-CACigna Legacy (S,"Cigna, Small & Large Group, 8-9 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Legacy (Standard) 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,"Cigna, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Legacy (Standard) 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecIVRi7gup9Oe04p-268506-CACigna Legacy (S,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Legacy (Standard) 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecdXPtGEJHO8qAel-268507-CACigna Legacy (S,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Legacy (Standard) 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna National 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Ten or More,CHIR_IDrec3JRUHq6kAMUXBe-268519-CACigna National ,"Cigna, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
