Line of Business,New Market Segment(s),Payer,Payer (Detailed),States,Covered Lives
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,IN,"5,206,433"
Commercial,Small Group,Anthem,Anthem,IN,"57,018"
Commercial,Individual,Anthem,Anthem,KY,"53,251"
Commercial,Large Group,Anthem,Anthem,KY,"146,384"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,KY,"310,543"
Commercial,Small Group,Anthem,Anthem,KY,"80,110"
Commercial,Individual,Anthem,Anthem,LA,"21,442"
Commercial,Large Group,Anthem,Anthem,MA,"20,930"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,MA,"314,997"
Commercial,Small Group,Anthem,Anthem,MA,"3,955"
Commercial,Individual,Anthem,Anthem,ME,"28,854"
Commercial,Large Group,Anthem,Anthem,ME,"80,530"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,ME,"467,650"
Commercial,Small Group,Anthem,Anthem,ME,"11,703"
Commercial,Individual,Anthem,Anthem,MO,"136,849"
Commercial,Large Group,Anthem,Anthem,MO,"100,191"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,MO,"447,625"
Commercial,Small Group,Anthem,Anthem,MO,"57,891"
Commercial,Individual,Anthem,Anthem,NH,"55,431"
Commercial,Large Group,Anthem,Anthem,NH,"82,903"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,NH,"113,527"
Commercial,Small Group,Anthem,Anthem,NH,"1,580"
Commercial,Individual,Anthem,Anthem,NV,"20,680"
Commercial,Large Group,Anthem,Anthem,NV,"44,674"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,NV,"21,319"
Commercial,Small Group,Anthem,Anthem,NV,"21,032"
Commercial,Large Group,Anthem,Anthem,NY,"209,984"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,NY,"1,330,036"
Commercial,Small Group,Anthem,Anthem,NY,"6,427"
Commercial,Individual,Anthem,Anthem,OH,"103,621"
Commercial,Large Group,Anthem,Anthem,OH,"63,851"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,OH,"2,726,725"
Commercial,Small Group,Anthem,Anthem,OH,"220,799"
Commercial,Large Group,Anthem,Anthem,OR,152
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,OR,"10,703"
Commercial,Individual,Anthem,Anthem,VA,"178,928"
Commercial,Large Group,Anthem,Anthem,VA,"190,516"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,VA,"3,067,310"
Commercial,Small Group,Anthem,Anthem,VA,"61,965"
Commercial,Individual,Anthem,Anthem,WI,"76,278"
Commercial,Large Group,Anthem,Anthem,WI,"48,186"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,WI,"618,623"
Commercial,Small Group,Anthem,Anthem,WI,"54,794"
Commercial,Individual,Blue Shield California,Blue Shield California,CA,"702,999"
Commercial,Large Group,Blue Shield California,Blue Shield California,CA,"909,568"
Commercial,Self Funded/Employer Sponsored,Blue Shield California,Blue Shield California,CA,"1,219,824"
Commercial,Small Group,Blue Shield California,Blue Shield California,CA,"399,545"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,AK,"16,398"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,AL,"102,118"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,AR,"97,360"
Commercial,Individual,Cigna,Cigna,AZ,"20,712"
Commercial,Large Group,Cigna,Cigna,AZ,"40,155"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,AZ,"352,125"
Commercial,Large Group,Cigna,Cigna,CA,"107,238"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,CA,"887,262"
Commercial,Individual,Cigna,Cigna,CO,"18,608"
Commercial,Large Group,Cigna,Cigna,CO,"39,794"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,CO,"563,495"
Commercial,Large Group,Cigna,Cigna,CT,"45,158"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,CT,"352,200"
Commercial,Large Group,Cigna,Cigna,DC,"32,160"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,DC,"35,242"
Commercial,Large Group,Cigna,Cigna,DE,"161,762"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,DE,"46,945"
Commercial,Individual,Cigna,Cigna,FL,"48,332"
Commercial,Large Group,Cigna,Cigna,FL,"91,368"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,FL,"1,174,017"
Commercial,Individual,Cigna,Cigna,GA,"22,043"
Commercial,Large Group,Cigna,Cigna,GA,"45,952"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,GA,"586,917"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,HI,"58,701"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,IA,"93,971"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,ID,"53,996"
Commercial,Individual,Cigna,Cigna,IL,"43,529"
Commercial,Large Group,Cigna,Cigna,IL,"7,849"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,IL,"58,461"
Commercial,Large Group,Cigna,Cigna,IN,"4,416"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,IN,"35,231"
Commercial,Individual,Cigna,Cigna,KS,942
Commercial,Large Group,Cigna,Cigna,KS,"2,657"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,KS,"117,329"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,KY,"98,615"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,LA,"169,052"
Commercial,Large Group,Cigna,Cigna,MA,"52,602"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,MA,"162,899"
Commercial,Small Group,Cigna,Cigna,MA,"2,595"
Commercial,Large Group,Cigna,Cigna,MD,"31,882"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,MD,"504,687"
Commercial,Large Group,Cigna,Cigna,ME,"7,628"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,ME,"86,883"
Commercial,Large Group,Cigna,Cigna,MI,"2,487"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,MI,"140,900"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,MN,"164,430"
Commercial,Individual,Cigna,Cigna,MO,"36,857"
Commercial,Large Group,Cigna,Cigna,MO,"7,269"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,MO,"352,186"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,MS,"111,488"
Commercial,Large Group,Cigna,Cigna,MT,"6,937"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,MT,"117,331"
Commercial,Individual,Cigna,Cigna,NC,"70,330"
Commercial,Large Group,Cigna,Cigna,NC,"15,513"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,NC,"528,229"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,ND,"11,641"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,NE,"41,103"
Commercial,Large Group,Cigna,Cigna,NH,"10,673"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,NH,"112,604"
Commercial,Large Group,Cigna,Cigna,NJ,"65,316"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,NJ,"1,231,753"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,NM,"52,892"
Commercial,Large Group,Cigna,Cigna,NV,"3,868"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,NV,"117,404"
Commercial,Large Group,Cigna,Cigna,NY,"185,867"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,NY,"682,031"
Commercial,Large Group,Cigna,Cigna,OH,"9,794"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,OH,"364,971"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,OK,"98,316"
Commercial,Large Group,Cigna,Cigna,OR,"18,051"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,OR,"80,879"
Commercial,Large Group,Cigna,Cigna,PA,"15,968"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,PA,"352,514"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,PR,711
Commercial,Large Group,Cigna,Cigna,RI,"2,026"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,RI,"32,868"
Commercial,Large Group,Cigna,Cigna,SC,"5,433"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,SC,"234,779"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,SD,"11,670"
Commercial,Individual,Cigna,Cigna,TN,"68,326"
Commercial,Large Group,Cigna,Cigna,TN,"21,811"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,TN,"704,349"
Commercial,Individual,Cigna,Cigna,TX,"65,190"
Commercial,Large Group,Cigna,Cigna,TX,"53,251"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,TX,"1,173,913"
Commercial,Individual,Cigna,Cigna,UT,"3,396"
Commercial,Large Group,Cigna,Cigna,UT,"5,086"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,UT,"196,101"
Commercial,Individual,Cigna,Cigna,VA,"47,220"
Commercial,Large Group,Cigna,Cigna,VA,"48,895"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,VA,"560,023"
Commercial,Large Group,Cigna,Cigna,VT,"2,374"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,VT,"69,236"
Commercial,Large Group,Cigna,Cigna,WA,"4,519"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,WA,"262,927"
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,WI,"97,377"
