Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B
Cigna Standard 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecmnXCnXMOZRdmLV-268481-CACigna Standard ,,
Cigna Standard 3-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecynhegPVjTmxsw5-268482-CACigna Standard ,,
Cigna Standard 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,,
Cigna Standard 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecLamNQ2VlIRIz2r-268483-CACigna Standard ,,
Cigna Standard 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDreck4PQrMrU1HNgAH-268484-CACigna Standard ,,
Cigna Standard 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,,
Cigna Total Savings 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec71qAIVXcOAfMpZ-268517-CACigna Total Sav,,
Cigna Total Savings 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,,
Cigna Value 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecsV0fdNb8FvaEPw-268491-CACigna Value 3-T,,
Cigna Value 3-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecsVOQur4ZI5L2A9-268492-CACigna Value 3-T,,
Cigna Value 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,,
Cigna Value 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecOujHsueib5cDzA-268493-CACigna Value 4-T,,
Cigna Value 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecIfPO3U7ZvTTZCs-268494-CACigna Value 4-T,,
Cigna Value 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,,
Diabetic Supply Preventive Medication List (Health Plan),Cigna,All Segments,Six - Seven,CHIR_IDrecosNKYgvw2d5kPT-290285-AKDiabetic Supply,,
Legacy (Standard) and Legacy (Performance) Preventive Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,,
Legacy (Standard) and Legacy (Performance) Preventive Generics Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,,
Legacy Diabetic Supply Preventive Medication List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,,
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec8XHi8XHpAmgl09-301799-AZOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecYMNmvk80tSBU2X-301803-CAOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecavtiNO8tA0sADe-301806-CTOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecXKPcpVxGYyghZt-301923-GAOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecxQnO4owR1lVQM4-301931-KSOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecx8Okyot4wI4XYs-301935-MOOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecqcwFXQ0JRL9UiJ-309486-PAOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecV9Iw8f0i9iPXB0-302189-TNOscar and Cigna,,
Standard and Performance Preventive Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,,
Standard and Performance Preventive Generics Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,,
Standard Plan Generics and Preferred Brands Drug List for the National Preferred Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Two - Three,CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,,
Standard Plus Plan Generics and Preferred Brands Drug List for the National Preferred Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,,
Standard Plus Preventive Drug List (Health Plan),Cigna,Unclear,None,,,
Standard Preventive Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),None,CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,,
Value and Advantage Preventive Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,,
Value and Advantage Preventive Generics Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,,
Care Choices for HSA Plans Medication Guide (FL Health Plan),Florida Blue,"Individual and Family Plans,Small Group Plans,Large Group Plans",Four - Five,CHIR_IDrecyovVyrzy1CxHHQ-154686-AKCare Choices fo,,
Care Choices for Simple Choices Medication Guide (FL Health Plan),Florida Blue,Individual and Family Plans,Four - Five,CHIR_IDrecmxsU5Z2OoJa5wx-309612-AKCare Choices fo,,
Care Choices Medication Guide (FL Health Plan),Florida Blue,"Individual and Family Plans,Small Group Plans",Four - Five,CHIR_IDrecntLNRSt8KOEFDv-137328-AKCare Choices Me,,
Closed Medication Guide (Health Plan),Florida Blue,Large Group Plans,Four - Five,CHIR_IDrecjrAjcPKtKkec7x-136816-AKClosed Medicati,,
Condition Care Rx Program Drug List (FL Health Plan),Florida Blue,Unclear,None,CHIR_IDrecbbX93MtYy9DwSa-269772-AKCondition Care ,,
Generic Choices Medication Guide (FL Health Plan),Florida Blue,Large Group Plans,Four - Five,CHIR_IDrecDu0lunmuQ38R9D-136930-AKGeneric Choices,,
Large Group Care Choices Medication Guide (FL Health Plan),Florida Blue,Large Group Plans,Four - Five,CHIR_IDrecmfjO2kbN9vzFRn-310802-FLLarge Group Car,,
Large Group ValueScript Rx Medication Guide (FL Health Plan),Florida Blue,"Individual and Family Plans,Small Group Plans,Large Group Plans",Four - Five,CHIR_IDrecCaIH7PomONSHnG-310810-FLLarge Group Val,,
NetResults A-Series Lite Medication Guide (FL Health Plan),Florida Blue,Unclear,Two - Three,CHIR_IDrecDAwCOhOGFxpTBF-261159-AKNetResults A-Se,,
NetResults A-Series Medication Guide (FL Health Plan),Florida Blue,Unclear,Two - Three,CHIR_IDrecIieQ6iXPZy3ejk-261161-AKNetResults A-Se,,
Open Medication Guide (Health Plan),Florida Blue,Large Group Plans,Four - Five,CHIR_IDrecVvia4Pu6VHM9Gu-136815-AKOpen Medication,,
Responsible Quantity Program,Florida Blue,Unclear,Four - Five,CHIR_IDrecWtOegHJlk0tuCM-194831-FLResponsible Qua,,
ValueScript Rx for Simple Choice Plans 4-Tier Medication Guide (Commercial),Florida Blue,Individual and Family Plans,Six - Seven,CHIR_IDrecPJJp9aJsZKSH2G-154688-FLValueScript Rx ,,
ValueScript Rx Medication Drug Guide (FL Health Plan),Florida Blue,"Individual and Family Plans,Small Group Plans,Large Group Plans",Four - Five,CHIR_IDrectPk81cFOUvkjZV-137327-AKValueScript Rx ,,
5-Tier Formulary Benefit (Commercial) (GA),Kaiser Permanente,Unclear,None,CHIR_IDrecCNYHnT4Fmv9otx-149909-GA5-Tier Formular,,
Access PPO/SEBB Large Employer Groups 4-Tier Drug Formulary (Commercial) (WA),Kaiser Permanente,Large Group Plans,None,CHIR_IDrec3HQSC3J7eARoJZ-200070-WAAccess PPO/SEBB,,
Access/Alliance/Alliant Plus/Core/Elect/Omni/Options 3-Tier Drug Formulary (Health Plan) (WA),Kaiser Permanente,Unclear,None,CHIR_IDrec6XkY18NrajcyUl-136874-WAAccess/Alliance,,
Added Choice Plan Formulary with Specialty Drug Tier (HI),Kaiser Permanente,Unclear,Eight - Nine,CHIR_IDrecWSRSS3FPjapozA-230638-HIAdded Choice Pl,,
Core/ Access PPO/Connect 4-Tier Drug Formulary (Health Plan) (WA),Kaiser Permanente,Unclear,None,CHIR_IDrecDkoAM63o54gzgd-138656-WACore/ Access PP,,
Exclusive Provider Organization (EPO)/Deductible EPO (DEPO) Commercial Self-Funded Plans Formulary (Health Plan)(CA),Kaiser Permanente,Large Group Plans,None,CHIR_IDrecP00FPgbqOFBMu6-191371-CAExclusive Provi,,
"Flexible Choice, 2TPOS OON Tier and Out-of-Area PPO Formulary (Health Plan) (D.C., MD, VA)",Kaiser Permanente,Large Group Plans,Just One,CHIR_IDrec225WSeEtphcJQk-290091-DCFlexible Choice,,
HMO Formulary (Commercial) (GA),Kaiser Permanente,Unclear,Just One,CHIR_IDrecOZdTybbOgEG5fI-149934-GAHMO Formulary (,,
Kaiser Permanente Georgia Choice Benefit Formulary (PPO),Kaiser Permanente,Unclear,None,CHIR_IDrec0MsUUM3Nuw9uBN-290245-GAKaiser Permanen,,
Kaiser Permanente Insurance Company (KPIC) POS/PPO Plans Covered Drug List (CO),Kaiser Permanente,Unclear,Eight - Nine,CHIR_IDrec7rvu9bfo7wD69K-149916-COKaiser Permanen,,
KPIC Point-of-Service (POS) Drug Formulary (Health Plan) (CA),Kaiser Permanente,Unclear,Eight - Nine,CHIR_IDrecnByfqX6jl55JzG-196782-CAKPIC Point-of-S,,
KPIC POS Drug Formulary with Specialty Drug Tier (Health Plan) (CA),Kaiser Permanente,Unclear,Eight - Nine,CHIR_IDrecNMutqfOgm8IPgy-187210-CAKPIC POS Drug F,,
KPIC PPO & OOA with Specialty Drug Tier Formulary 5-Tier (Health Plan) (CA),Kaiser Permanente,Unclear,Ten or More,CHIR_IDrec4w5Wh3qSXknayd-217858-CAKPIC PPO & OOA ,,
KPIC PPO and OOA Indemnity Drug Formulary (Health Plan) (CA),Kaiser Permanente,Unclear,Ten or More,CHIR_IDrecXrRDbDFQdVUhRH-188578-CAKPIC PPO and OO,,
Large Employer Group Drug Formulary with Additional Specialty Tier (2-Tier) (Health Plan) (WA),Kaiser Permanente,Large Group Plans,Four - Five,CHIR_IDrec4ZTU0lc6Lr3Nor-188573-WALarge Employer ,,
Large Group Alliance/Core 2-Tier Drug Formulary (Health Plan) (WA),Kaiser Permanente,Large Group Plans,Four - Five,CHIR_IDrechFlMnx1V49gBin-138660-WALarge Group All,,
Marketplace Formulary (Commercial) (OR),Kaiser Permanente,Unclear,None,CHIR_IDrecbkwrMwOqsqiMsm-137645-ORMarketplace For,,
Marketplace Formulary (Commercial) (WA),Kaiser Permanente,Unclear,None,CHIR_IDrec5KejXXbPSAUPPy-149898-WAMarketplace For,,
Mid/Large Group 4-Tier Benefit Formulary (Commercial) (GA),Kaiser Permanente,Large Group Plans,None,CHIR_IDrec29QelpJxN4jr14-153145-GAMid/Large Group,,
"Northwest Commercial Formulary (OR, WA)",Kaiser Permanente,Unclear,None,CHIR_IDrec9A89Q8U5Wx6qqg-149900-ORNorthwest Comme,,
"Northwest Self-Funded Formulary (OR, WA Health Plan)",Kaiser Permanente,Individual,None,CHIR_IDrecL9r5ATpLaWSLrF-310310-ORNorthwest Self-,,
"Northwest Specialty Drug List (OR, WA)",Kaiser Permanente,Unclear,None,CHIR_IDrecXW650hJM8RPrhN-149904-ORNorthwest Speci,,
PEBB SoundChoice/PEBB Value/Summit PPO 5-Tier Drug Formulary (Health Plan) (WA),Kaiser Permanente,Unclear,None,CHIR_IDrecVhAbrYzRv2p7DA-138661-WAPEBB SoundChoic,,
Premium Standard Formulary (CO Health Plan),Kaiser Permanente,"Individual and Family Plans,Small Group Plans",Four - Five,CHIR_IDrec2nIDCubGNKdP67-316878-COPremium Standar,,
"Premium Standard Formulary (MD, VA, D.C.)",Kaiser Permanente,"Individual and Family Plans,Small Group Plans",Four - Five,CHIR_IDrecPLEqYpPL7k0nDT-372985-DCPremium Standar,,
4-Tier Oscar Individual Plan Formulary (AZ Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecUf7qatosiD09ht-342761-AZ4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (FL Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecOT2KASM9Cwo4Zz-342762-FL4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (GA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecLUMCzwgJshOpMt-342763-GA4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (IA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecStELh0Fs1ogRD0-342765-IA4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (IL Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecksKr4Nx1H8i47y-342764-IL4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (KS Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec7QhTfpbbw1f5nR-342766-KS4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (MI Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecAd3OdR4mMJTLU0-342767-MI4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (MO Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec6u4FaUfgr4OFhq-342769-MO4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (NC Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecB9zAxpvBBHSCO6-342752-NC4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (NE Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecxVqNNL7jcmHCAi-342770-NE4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (OH Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecg8So6JxySMQsU3-342753-OH4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (OK Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecaju1ktWVH8fftf-342755-OK4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (PA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec2lphwg6nqLNgyE-342756-PA4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (TN Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecwtcgXf57mXdJZ2-342758-TN4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (TX Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecqhxZo50K974Hx7-342759-TX4-Tier Oscar In,,
4-Tier Oscar Individual Plan Formulary (VA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecdTylUmulVc8CNT-342760-VA4-Tier Oscar In,,
6-Tier Oscar Individual and Family Plan Formulary (OH Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecIwiLLuw3vqpm7t-264055-OH6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (AZ Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecXpk2g3HVChqy0X-301798-AZ6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (FL Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecGf9SBO2d8vpVMk-301807-FL6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (GA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec0oFUFrGvZNCAaO-301921-GA6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (IA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec2x9yNPgi42U3Kr-301927-IA6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (IL Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecTxLw8MUX4oaEpU-301924-IL6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (KS Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec3Wyv6mfHmcEUzT-301929-KS6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (MI Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecpYwLjqYlCOprPQ-301932-MI6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (MO Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecbQPM1sHJHkMZmv-301934-MO6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (NC Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecaH05Js9qNxlBs9-302183-NC6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (NE Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecFWCUZNM8oSRxf1-301936-NE6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (OK Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecck94yHr9dEyC82-302184-OK6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (PA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecCkktpNvhru5LJg-302185-PA6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (TN Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec5NobvDYhZDMrHg-302186-TN6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (TX Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec2OCzHXUx1MNPjR-302187-TX6-Tier Oscar In,,
6-Tier Oscar Individual Plan Formulary (VA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrech05bMGBDcDAVbV-302188-VA6-Tier Oscar In,,
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecOSvJtFPS7PWjTa-301799-AZOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrec27GrZlCs1r9TUr-301803-CAOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecvbrum9fu5Wgp9R-301806-CTOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecElwtCCxD58CRQr-301923-GAOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecjUtVkwdy7Xr3aW-301931-KSOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecGAHLPDzUGWrJ5l-301935-MOOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecIYkYuDLeGH0CYF-309486-PAOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecorv3DDadaoMI3M-302189-TNOscar and Cigna,,
Oscar and Cigna Express Scripts High Performance Infertility Formulary (CA Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecE1A4Ark3UqiArY-301804-CAOscar and Cigna,,
Oscar Business & Individual and Small Group Plan Formulary (NY Health Plan),Oscar Health Insurance,"Individual,Small Group",Two - Three,CHIR_IDrecPyjcLjOYgxZSeI-302181-NYOscar Business ,,
Oscar For Business No Family Planning (NY Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec78JbgzJp7SpZKW-302182-NYOscar For Busin,,
Oscar Individual and Small Group Plan Formulary (NJ Health Plan),Oscar Health Insurance,"Individual,Small Group",Two - Three,CHIR_IDrecdmtMY4Mxw3TuOr-301937-NJOscar Individua,,
2025 Surest Advantage 3-Tier Prescription Drug List,United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrec0C0Rk84nc7DLHB-361532-CA2025 Surest Adv,,
Access 3-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecPBXFEdyXlJ3bKT-229114-AKAccess 3-Tier P,,
Access 4-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecpCcBOfuoorRU40-229117-AKAccess 4-Tier P,,
Alabama Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrec8W4DV2YP3FaiEY-312692-ALAlabama Individ,,
Arizona Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecvEhdfBTfvpN6I8-312694-AZArizona Individ,,
California Access Large Group 3-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecW6OGt16cx9nz7e-267551-CACalifornia Acce,,
California Access Large Group 3-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecMoXIwPwmiBNsUa-227753-CACalifornia Acce,,
California Access Large Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecMv3O9c0q911gKP-267552-CACalifornia Acce,,
California Access Large Group 4-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrec29Fi3ZLrvFx8Gu-227755-CACalifornia Acce,,
California Advantage Large Group 3-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrech72VW0dP8F2gfV-269770-CACalifornia Adva,,
California Advantage Large Group 3-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrec5RYmCxLrtTl1gV-173031-CACalifornia Adva,,
California Advantage Large Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecuEaOn75poIHbWa-269771-CACalifornia Adva,,
California Advantage Large Group 4-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecxS0QXaszZLmsJ5-173032-CACalifornia Adva,,
California Large Group 4-Tier Essential HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecxpfyB748fnOumn-267553-CACalifornia Larg,,
California Small Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Small Group,Eight - Nine,CHIR_IDrec2NEXwneyFj4Q5A-269769-CACalifornia Smal,,
California Small Group 4-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Small Group,Eight - Nine,CHIR_IDrecJNdJKgv9IWYs3d-151908-CACalifornia Smal,,
Connecticut Access 3 Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecMcxYMYHBOrJ0Yk-229148-CTConnecticut Acc,,
Connecticut Advantage 3 Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecHUCFpBnc0Xgkpp-229145-CTConnecticut Adv,,
Connecticut Advantage 4 Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecqEdGQEycz1eb0o-229147-CTConnecticut Adv,,
Connecticut Traditional 3 Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecOlLecBBg1zJ4YG-229146-CTConnecticut Tra,,
Core Plus Preventive Drug List (Health Plan),United Healthcare,Unclear,Just One,CHIR_IDrecrXDC46nQMGOeCw-289031-AKCore Plus Preve,,
Essential 4-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecTs7lLweXRy6EOs-153163-AKEssential 4-Tie,,
Expanded Preventive Drug List (Health Plan),United Healthcare,"Individual,Small Group,Large Group",Just One,CHIR_IDrecrt1rXL8Jx0ZMsr-289032-AKExpanded Preven,,
Federal Guided Preventive Drug List (Health Plan),United Healthcare,"Individual,Small Group,Large Group",Just One,CHIR_IDrec5woywck7ekxIed-289033-AKFederal Guided ,,
Florida Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDreccyWNrBQqCms0Pz-312697-FLFlorida Individ,,
Georgia Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecSsWcZAatidaW6j-312699-GAGeorgia Individ,,
Illinois Essential Plus Prescription Drug List (Health Plan),United Healthcare,Unclear,Four - Five,CHIR_IDrecxzDS6SDZacuwiK-312704-ILIllinois Essent,,
Illinois Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecSlGmPC2N8QVJOG-312703-ILIllinois Indivi,,
Indiana Prescription Drug List (Health Plan),United Healthcare,Unclear,Four - Five,CHIR_IDrec9NQl5xGDHs0pSY-359377-INIndiana Prescri,,
Individual and Family Plans Diabetic Supply List (Health Plan),United Healthcare,Individual and Family Plans,Six - Seven,CHIR_IDrecucZNkBkZCgYUFJ-359363-ALIndividual and ,,
Iowa Prescription Drug List (Health Plan),United Healthcare,Unclear,Four - Five,CHIR_IDrecg6ToI2JzxCj7LP-359381-IAIowa Prescripti,,
Kansas Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecH05mjmI3hLaYLs-312706-KSKansas Individu,,
