Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B
Essential Drug List 5-Tier (DMHC),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecBl5wgVra8ft3gd-233803-CAEssential Drug ,,
Essential Drug List 5-Tier (DMHC) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecMk2TmkON6M2SmG-233761-CAEssential Drug ,,
Essential Five Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecHcFyhRatGtPGP6-340167-CTEssential Five ,,
Essential Four Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecVgqiEQTkZt7JRc-340166-CTEssential Four ,,
Essential Three Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec0MkZusHHkMr4jb-340165-CTEssential Three,,
Five Tier Essential Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreceQAecBbbZXa6I1-313029-CTFive Tier Essen,,
Five Tier National Drug List (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrectTF5Y1RSRtQfIp-313150-CAFive Tier Natio,,
Four Tier Essential Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrechifPzNpLjkFlsq-313028-CTFour Tier Essen,,
Four Tier National Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreckEx3rxaApMtK54-313032-CTFour Tier Natio,,
Fully-Insured Essential 3-Tier Drug List (NY Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecTm4D0L4vbQccxw-229501-CTFully-Insured E,,
Fully-Insured National 3-Tier Drug List (NY Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDreclOhNGEKUtwVzZX-229506-CTFully-Insured N,,
Fully-Insured Traditional Open 3-Tier Drug List Without Contraceptives (NY),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec3uBgqqUpg1CjX7-290137-NYFully-Insured T,,
Generic Premium Drug List (CDI) (CA),Anthem,Unclear,None,CHIR_IDrec8Nwn6tn7KNZaQX-233856-AKGeneric Premium,,
Generic Premium Drug List (DHMC) (CA),Anthem,Unclear,None,CHIR_IDrecXxthQSq5ngqXX5-233864-CAGeneric Premium,,
Legacy National Direct PreventiveRx Drug List (Health Plan),Anthem,Unclear,None,CHIR_IDrecSOuDyWN2WCxTLN-313047-AKLegacy National,,
National 3-Tier Drug List for Fully-Insured Members (NY),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecuCte7WtJTdFadr-137002-NYNational 3-Tier,,
National Closed Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecBD0sIDvrSaHGJm-340171-CTNational Closed,,
National Direct 3-Tier Drug List (ABCBS),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecXNOK8iyYy39cSN-263415-CONational Direct,,
National Direct 3-Tier Drug List (CDI),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecoqAssj0oL8ef23-263385-CANational Direct,,
National Direct 3-Tier Drug List (DMHC),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecLEGvSCkUo9YgGE-263386-CANational Direct,,
National Direct 3-Tier Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecqJQaYjgHIbBClv-263421-NYNational Direct,,
National Direct 3-Tier Drug List (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecheywsgArHSYjUI-263416-VANational Direct,,
National Direct 3-Tier Preferred Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecoVDcf5gEN5G2HX-373011-CTNational Direct,,
National Direct 3-Tier Preferred Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreceG9jQ3V5X8k3fP-372931-NYNational Direct,,
National Direct 4-Tier Drug List (ABCBS),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecmwaqYDeJs93ngj-263417-CONational Direct,,
National Direct 4-Tier Drug List (CDI),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec1yZ1zdLERAD2uW-263387-CANational Direct,,
National Direct 4-Tier Drug List (DMHC),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecdYXyr1Ni0KkRXO-263390-CANational Direct,,
National Direct 4-Tier Drug List (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecuA93JZfKIKFbuK-263418-VANational Direct,,
National Direct 4-Tier Preferred Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreckVdQxObZq31d9z-373012-CTNational Direct,,
National Direct 4-Tier Preferred Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecEZ48V9CQyGYSMd-372932-NYNational Direct,,
National Direct 5-Tier Drug List (ABCBS),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreckuv3HC81WOMMjY-263419-CONational Direct,,
National Direct 5-Tier Drug List (CDI),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecc7TYJkd5s9UbdD-263391-CANational Direct,,
National Direct 5-Tier Drug List (DMHC),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecp2WbvWGqSjjonB-263394-CANational Direct,,
National Direct 5-Tier Drug List (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreciSSYtR1PWEFHot-263420-VANational Direct,,
National Direct 5-Tier Preferred Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec3tGCxpYP1j7LFd-373017-CTNational Direct,,
National Direct 5-Tier Preferred Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecswk42IHpAEqR03-372933-NYNational Direct,,
National Direct Drug List Medication Alternatives,Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecDVQ8DVtc8CNQlN-290068-AKNational Direct,,
National Direct Drug List Medication Alternatives (NY),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDreczrqZIP5My5CWrJ-270421-NYNational Direct,,
National Direct Drug List Medication Alternatives (VA),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecnYwLNBhldTco7v-290070-AKNational Direct,,
National Direct Five Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecrFMy3o0LqaQyMU-340174-CTNational Direct,,
National Direct Four Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrectWyFr6zKuzgTAT-340173-CTNational Direct,,
National Direct Plus 3-Tier Drug List (NY Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecw7qG1zicXI3XRj-340029-NYNational Direct,,
National Direct Plus Drug List 4-Tier (Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecXjm1c2bkYh8GVy-338594-AKNational Direct,,
National Direct Plus Drug List Medication Alternatives (CA Health Plan),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrectnrz975gMiN1PN-340142-CANational Direct,,
National Direct Plus Drug List Medication Alternatives (Health Plan),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDreckw5o2p2yNIrlQU-339993-AKNational Direct,,
National Direct Plus Drug List Medication Alternatives (NY Health Plan),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecd3c5iUE6VF37bu-340028-NYNational Direct,,
National Direct Plus Drug List Medication Alternatives (VA Health Plan),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecanNjzLDWs4aaxd-339994-VANational Direct,,
National Direct Plus Five Tier Drug List (CDI) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecIaL1Nz4fkX7Q0K-340147-CANational Direct,,
National Direct Plus Five Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecG28JufdSqXQChT-340177-CTNational Direct,,
National Direct Plus Five Tier Drug List (DMHC) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecfdJ3axcW39UWRh-340148-CANational Direct,,
National Direct Plus Five Tier Drug List (Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecJLv2IArsuwF2bz-338727-AKNational Direct,,
National Direct Plus Five Tier Drug List (VA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecM1Dvq5HoPDeJEc-338729-VANational Direct,,
National Direct Plus Four Tier Drug List (CDI) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreceHtM6yzL9j605R-340145-CANational Direct,,
National Direct Plus Four Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec4HS3Z6DgdQikQ6-340176-CTNational Direct,,
National Direct Plus Four Tier Drug List (DMHC) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreczS9qj7x3kMOUkQ-340146-CANational Direct,,
National Direct Plus Four Tier Drug List (VA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreclAUuV42FGOAApM-338726-VANational Direct,,
National Direct Plus Three Tier Drug List (CDI) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecCplNqUTNOw7Gk1-340143-CANational Direct,,
National Direct Plus Three Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec92sLOCLKDGxhdN-340175-CTNational Direct,,
National Direct Plus Three Tier Drug List (DMHC) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecp5asgnfXgYupGn-340144-CANational Direct,,
National Direct Plus Three Tier Drug List (Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecDswhJBAPd4hASh-338588-AKNational Direct,,
National Direct Plus Three Tier Drug List (VA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecIh2zwq9h53LZ2p-338589-VANational Direct,,
National Direct Preferred Drug List Alternatives (CT),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecdF9W4Pc03Ub2sx-373010-CTNational Direct,,
National Direct Preferred Drug List Alternatives (NY),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecXKms4aDDR3T7ah-372917-NYNational Direct,,
National Direct Three Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecKVNeqKrxgH5uVT-340172-CTNational Direct,,
National Drug List 3-Tier (CDI),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecT2AIpuXrnLWfGH-233772-AKNational Drug L,,
National Drug List 3-Tier (Commercial),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec96rkbCniGYOsad-289370-AKNational Drug L,,
