Document Title,uuid_formula,UUID_dupe,airtable_record_id,New State Grouping
4-Tier Oscar Individual Plan Formulary (PA Health Plan),CHIR_IDrec2lphwg6nqLNgyE-342756-PA4-Tier Oscar In,CHIR_IDrec2lphwg6nqLNgyE-342756-PA4-Tier Oscar In,rec2lphwg6nqLNgyE,Only 1 State(s): PA
6-Tier Oscar Individual Plan Formulary (AZ Health Plan),CHIR_IDrecXpk2g3HVChqy0X-301798-AZ6-Tier Oscar In,CHIR_IDrecXpk2g3HVChqy0X-301798-AZ6-Tier Oscar In,recXpk2g3HVChqy0X,Only 1 State(s): AZ
6-Tier Oscar Individual Plan Formulary (FL Health Plan),CHIR_IDrecGf9SBO2d8vpVMk-301807-FL6-Tier Oscar In,CHIR_IDrecGf9SBO2d8vpVMk-301807-FL6-Tier Oscar In,recGf9SBO2d8vpVMk,Only 1 State(s): FL
6-Tier Oscar Individual Plan Formulary (MI Health Plan),CHIR_IDrecpYwLjqYlCOprPQ-301932-MI6-Tier Oscar In,CHIR_IDrecpYwLjqYlCOprPQ-301932-MI6-Tier Oscar In,recpYwLjqYlCOprPQ,Only 1 State(s): MI
Diabetes Equipment and Supplies,CHIR_IDrecFU1iTB5uWQ2ao9-221111-AZDiabetes Equipm,CHIR_IDrecFU1iTB5uWQ2ao9-221111-AZDiabetes Equipm,recFU1iTB5uWQ2ao9,Multiple States
Continuous Glucose Monitors,CHIR_IDrecRqRIyrWp0YHWN9-297420-AZContinuous Gluc,CHIR_IDrecRqRIyrWp0YHWN9-297420-AZContinuous Gluc,recRqRIyrWp0YHWN9,Multiple States
Oscar and Cigna Express Scripts High Performance Infertility Formulary (CA Health Plan),CHIR_IDrecE1A4Ark3UqiArY-301804-CAOscar and Cigna,CHIR_IDrecE1A4Ark3UqiArY-301804-CAOscar and Cigna,recE1A4Ark3UqiArY,Only 1 State(s): CA
4-Tier Oscar Individual Plan Formulary (TN Health Plan),CHIR_IDrecwtcgXf57mXdJZ2-342758-TN4-Tier Oscar In,CHIR_IDrecwtcgXf57mXdJZ2-342758-TN4-Tier Oscar In,recwtcgXf57mXdJZ2,Only 1 State(s): TN
4-Tier Oscar Individual Plan Formulary (OH Health Plan),CHIR_IDrecg8So6JxySMQsU3-342753-OH4-Tier Oscar In,CHIR_IDrecg8So6JxySMQsU3-342753-OH4-Tier Oscar In,recg8So6JxySMQsU3,Only 1 State(s): OH
4-Tier Oscar Individual Plan Formulary (OK Health Plan),CHIR_IDrecaju1ktWVH8fftf-342755-OK4-Tier Oscar In,CHIR_IDrecaju1ktWVH8fftf-342755-OK4-Tier Oscar In,recaju1ktWVH8fftf,Only 1 State(s): OK
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),CHIR_IDrecOSvJtFPS7PWjTa-301799-AZOscar and Cigna,CHIR_IDrecOSvJtFPS7PWjTa-301799-AZOscar and Cigna,recOSvJtFPS7PWjTa,Only 1 State(s): AZ
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),CHIR_IDrec27GrZlCs1r9TUr-301803-CAOscar and Cigna,CHIR_IDrec27GrZlCs1r9TUr-301803-CAOscar and Cigna,rec27GrZlCs1r9TUr,Only 1 State(s): CA
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),CHIR_IDrecElwtCCxD58CRQr-301923-GAOscar and Cigna,CHIR_IDrecElwtCCxD58CRQr-301923-GAOscar and Cigna,recElwtCCxD58CRQr,Only 1 State(s): GA
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),CHIR_IDrecvbrum9fu5Wgp9R-301806-CTOscar and Cigna,CHIR_IDrecvbrum9fu5Wgp9R-301806-CTOscar and Cigna,recvbrum9fu5Wgp9R,Only 1 State(s): CT
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),CHIR_IDrecjUtVkwdy7Xr3aW-301931-KSOscar and Cigna,CHIR_IDrecjUtVkwdy7Xr3aW-301931-KSOscar and Cigna,recjUtVkwdy7Xr3aW,Only 1 State(s): KS
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),CHIR_IDrecGAHLPDzUGWrJ5l-301935-MOOscar and Cigna,CHIR_IDrecGAHLPDzUGWrJ5l-301935-MOOscar and Cigna,recGAHLPDzUGWrJ5l,Only 1 State(s): MO
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),CHIR_IDrecIYkYuDLeGH0CYF-309486-PAOscar and Cigna,CHIR_IDrecIYkYuDLeGH0CYF-309486-PAOscar and Cigna,recIYkYuDLeGH0CYF,Only 1 State(s): PA
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),CHIR_IDrecorv3DDadaoMI3M-302189-TNOscar and Cigna,CHIR_IDrecorv3DDadaoMI3M-302189-TNOscar and Cigna,recorv3DDadaoMI3M,Only 1 State(s): TN
Insulin Delivery Systems and Continuous Glucose Monitoring,CHIR_IDrecnDCxJMiRfyHdWk-221202-AZInsulin Deliver,CHIR_IDrecnDCxJMiRfyHdWk-221202-AZInsulin Deliver,recnDCxJMiRfyHdWk,Multiple States
Pharmacy Benefit Supply Limits per Copay (Health Plan),CHIR_IDrecYelvQBaArOJZOo-289023-AKPharmacy Benefi,CHIR_IDrecYelvQBaArOJZOo-289023-AKPharmacy Benefi,recYelvQBaArOJZOo,All States
Illinois Essential Plus Prescription Drug List (Health Plan),CHIR_IDrecxzDS6SDZacuwiK-312704-ILIllinois Essent,CHIR_IDrecxzDS6SDZacuwiK-312704-ILIllinois Essent,recxzDS6SDZacuwiK,Only 1 State(s): IL
Illinois Individual and Family Plans Prescription Drug List (Health Plan),CHIR_IDrecSlGmPC2N8QVJOG-312703-ILIllinois Indivi,CHIR_IDrecSlGmPC2N8QVJOG-312703-ILIllinois Indivi,recSlGmPC2N8QVJOG,Only 1 State(s): IL
"Continuous Glucose Monitoring and Insulin Delivery for Managing Diabetes (Commercial, Individual Exchange)",CHIR_IDrecCCBX9DTfnLo0rg-226855-AKContinuous Gluc,CHIR_IDrecCCBX9DTfnLo0rg-226855-AKContinuous Gluc,recCCBX9DTfnLo0rg,"All States Except HI, MT, ND, VT"
"Diabetic Management, Services, and Supplies (West CA)",CHIR_IDrecVkRwK8vU2puGXG-201787-CADiabetic Manage,CHIR_IDrecVkRwK8vU2puGXG-201787-CADiabetic Manage,recVkRwK8vU2puGXG,Only 1 State(s): CA
"Diabetic Management, Services, and Supplies (West TX, OK, OR, WA)",CHIR_IDrecQzBHoxNKqNF9Nn-201788-OKDiabetic Manage,CHIR_IDrecQzBHoxNKqNF9Nn-201788-OKDiabetic Manage,recQzBHoxNKqNF9Nn,"Only 4 State(s): OK, OR, TX, WA"
"Continuous Glucose Monitors, Sensors and Transmitters (All Brands) (Medical Necessity)",CHIR_IDrecClC2ytD9Hgfskb-166509-AKContinuous Gluc,CHIR_IDrecClC2ytD9Hgfskb-166509-AKContinuous Gluc,recClC2ytD9Hgfskb,"All States Except ND, VT"
Prior Authorization Requirements for UnitedHealthcare West Commercial,CHIR_IDrecqiZ6F4Q50DPeEh-351186-CAPrior Authoriza,CHIR_IDrecqiZ6F4Q50DPeEh-351186-CAPrior Authoriza,recqiZ6F4Q50DPeEh,"Only 5 State(s): CA, OK, OR, TX, WA"
Prior Authorization Requirements for UnitedHealthcare of the River Valley,CHIR_IDrecmEfWjJmflF7WvY-351183-AKPrior Authoriza,CHIR_IDrecmEfWjJmflF7WvY-351183-AKPrior Authoriza,recmEfWjJmflF7WvY,"All States Except ND, VT"
Prior Authorization Requirements (Oxford Health Plans),CHIR_IDrecsXhMaLXYyncqlD-351181-CTPrior Authoriza,CHIR_IDrecsXhMaLXYyncqlD-351181-CTPrior Authoriza,recsXhMaLXYyncqlD,"Only 3 State(s): CT, NJ, NY"
Surest Health Plans Prior Authorization Requirements,CHIR_IDrecZIyhb7L8Gl3eGX-351177-AKSurest Health P,CHIR_IDrecZIyhb7L8Gl3eGX-351177-AKSurest Health P,recZIyhb7L8Gl3eGX,"All States Except ND, VT"
Prior Authorization Requirements for UnitedHealthcare Mid-Atlantic Health Plans,CHIR_IDrecUxJLGjaGDIEIqp-159497-AKPrior Authoriza,CHIR_IDrecUxJLGjaGDIEIqp-159497-AKPrior Authoriza,recUxJLGjaGDIEIqp,All States
Advance Prior Authorization Requirements for Neighborhood Health Partnership,CHIR_IDrecY1pmJXioV8jylN-351178-FLAdvance Prior A,CHIR_IDrecY1pmJXioV8jylN-351178-FLAdvance Prior A,recY1pmJXioV8jylN,Only 1 State(s): FL
Medical Records Requirements,CHIR_IDrecw4WrFmiqlgGgWY-196515-AKMedical Records,CHIR_IDrecw4WrFmiqlgGgWY-196515-AKMedical Records,recw4WrFmiqlgGgWY,"All States Except ND, VT"
Notification/PA Requirements (Commercial),CHIR_IDrecN5e0TyJS8Ik4Ey-134147-AKNotification/PA,CHIR_IDrecN5e0TyJS8Ik4Ey-134147-AKNotification/PA,recN5e0TyJS8Ik4Ey,"All States Except ND, VT"
Prior Authorization Requirements (Individual Exchange),CHIR_IDrec2HoLhEtbBwiFzz-293063-ALPrior Authoriza,CHIR_IDrec2HoLhEtbBwiFzz-293063-ALPrior Authoriza,rec2HoLhEtbBwiFzz,Multiple States
"Continuous Glucose Monitors, Sensors and Transmitters (All Brands) (Notification)",CHIR_IDrecaQY96m7JU9CmN5-59413-AKContinuous Gluc,CHIR_IDrecaQY96m7JU9CmN5-59413-AKContinuous Gluc,recaQY96m7JU9CmN5,"All States Except ND, VT"
Clinical Criteria (Florida),CHIR_IDreczfkIfpSR2FGQPI-340770-FLClinical Criter,CHIR_IDreczfkIfpSR2FGQPI-340770-FLClinical Criter,reczfkIfpSR2FGQPI,Only 1 State(s): FL
Clinical Criteria (Illinois),CHIR_IDrecff1XZAbv2NErCa-340772-ILClinical Criter,CHIR_IDrecff1XZAbv2NErCa-340772-ILClinical Criter,recff1XZAbv2NErCa,Only 1 State(s): IL
Clinical Criteria (Louisiana),CHIR_IDrecTuxg7IDl1FTzUv-340774-LAClinical Criter,CHIR_IDrecTuxg7IDl1FTzUv-340774-LAClinical Criter,recTuxg7IDl1FTzUv,Only 1 State(s): LA
Clinical Criteria (New Jersey),CHIR_IDrecYrS7xaVuetM4sP-340781-NJClinical Criter,CHIR_IDrecYrS7xaVuetM4sP-340781-NJClinical Criter,recYrS7xaVuetM4sP,Only 1 State(s): NJ
Clinical Criteria (Kansas),CHIR_IDrec4kVtpSE70PqyY0-340773-KSClinical Criter,CHIR_IDrec4kVtpSE70PqyY0-340773-KSClinical Criter,rec4kVtpSE70PqyY0,Only 1 State(s): KS
Clinical Criteria (South Carolina),CHIR_IDrecIYtt4gTxjBmILc-340790-SCClinical Criter,CHIR_IDrecIYtt4gTxjBmILc-340790-SCClinical Criter,recIYtt4gTxjBmILc,Only 1 State(s): SC
Clinical Criteria (Tennessee),CHIR_IDreczpI5NIyoh2letB-340794-TNClinical Criter,CHIR_IDreczpI5NIyoh2letB-340794-TNClinical Criter,reczpI5NIyoh2letB,Only 1 State(s): TN
Clinical Criteria (Texas),CHIR_IDrec24impckQpxdsR6-340799-TXClinical Criter,CHIR_IDrec24impckQpxdsR6-340799-TXClinical Criter,rec24impckQpxdsR6,Only 1 State(s): TX
Clinical Criteria (Washington),CHIR_IDrecYfbU8G0ViDeYcZ-340815-WAClinical Criter,CHIR_IDrecYfbU8G0ViDeYcZ-340815-WAClinical Criter,recYfbU8G0ViDeYcZ,Only 1 State(s): WA
Clinical Criteria (Ohio),CHIR_IDrecBKbitrLdgxd9AR-340783-OHClinical Criter,CHIR_IDrecBKbitrLdgxd9AR-340783-OHClinical Criter,recBKbitrLdgxd9AR,Only 1 State(s): OH
Clinical Criteria (Alabama),CHIR_IDrecqR5bH0unDs7QgN-340768-ALClinical Criter,CHIR_IDrecqR5bH0unDs7QgN-340768-ALClinical Criter,recqR5bH0unDs7QgN,Only 1 State(s): AL
Clinical Criteria (Arizona),CHIR_IDrecJoi9TQNPausXL7-265384-AZClinical Criter,CHIR_IDrecJoi9TQNPausXL7-265384-AZClinical Criter,recJoi9TQNPausXL7,Only 1 State(s): AZ
Clinical Criteria (Wyoming),CHIR_IDrecEd3jIe2a6tcnXt-368500-WYClinical Criter,CHIR_IDrecEd3jIe2a6tcnXt-368500-WYClinical Criter,recEd3jIe2a6tcnXt,Only 1 State(s): WY
Clinical Criteria (Nebraska),CHIR_IDrecZeeNbT8b7zip1G-363541-NEClinical Criter,CHIR_IDrecZeeNbT8b7zip1G-363541-NEClinical Criter,recZeeNbT8b7zip1G,Only 1 State(s): NE
Clinical Criteria (Indiana),CHIR_IDrecmf7SfkiBrvZKhL-363539-INClinical Criter,CHIR_IDrecmf7SfkiBrvZKhL-363539-INClinical Criter,recmf7SfkiBrvZKhL,Only 1 State(s): IN
Clinical Criteria (Iowa),CHIR_IDreczuAmOcMGgzJGc0-363540-IAClinical Criter,CHIR_IDreczuAmOcMGgzJGc0-363540-IAClinical Criter,reczuAmOcMGgzJGc0,Only 1 State(s): IA
Clinical Criteria (Wisconsin),CHIR_IDrecFU2NyxL8Boum2l-340818-WIClinical Criter,CHIR_IDrecFU2NyxL8Boum2l-340818-WIClinical Criter,recFU2NyxL8Boum2l,Only 1 State(s): WI
Clinical Criteria (Virginia),CHIR_IDrecW87wwXRxw7IGXB-340807-VAClinical Criter,CHIR_IDrecW87wwXRxw7IGXB-340807-VAClinical Criter,recW87wwXRxw7IGXB,Only 1 State(s): VA
Clinical Criteria (Oklahoma),CHIR_IDrecwcZ0OZOWkuJWko-340787-OKClinical Criter,CHIR_IDrecwcZ0OZOWkuJWko-340787-OKClinical Criter,recwcZ0OZOWkuJWko,Only 1 State(s): OK
Clinical Criteria (Missouri),CHIR_IDrec93aI0N4D1aWfbS-340778-MOClinical Criter,CHIR_IDrec93aI0N4D1aWfbS-340778-MOClinical Criter,rec93aI0N4D1aWfbS,Only 1 State(s): MO
Clinical Criteria (Mississippi),CHIR_IDrec05d6MCUsFblcHp-340776-MSClinical Criter,CHIR_IDrec05d6MCUsFblcHp-340776-MSClinical Criter,rec05d6MCUsFblcHp,Only 1 State(s): MS
Clinical Criteria (Michigan),CHIR_IDrec1OxawR1n45mWVw-340775-MIClinical Criter,CHIR_IDrec1OxawR1n45mWVw-340775-MIClinical Criter,rec1OxawR1n45mWVw,Only 1 State(s): MI
Clinical Criteria (Georgia),CHIR_IDrecIRrHIjSKzSd7fM-340771-GAClinical Criter,CHIR_IDrecIRrHIjSKzSd7fM-340771-GAClinical Criter,recIRrHIjSKzSd7fM,Only 1 State(s): GA
Wyoming Prescription Drug List (Health Plan),CHIR_IDrecpOz7E965U0Xae1-359385-WYWyoming Prescri,CHIR_IDrecpOz7E965U0Xae1-359385-WYWyoming Prescri,recpOz7E965U0Xae1,Only 1 State(s): WY
Wisconsin Individual and Family Plans Prescription Drug List (Health Plan),CHIR_IDrecAO4neLd050qPF5-339769-WIWisconsin Indiv,CHIR_IDrecAO4neLd050qPF5-339769-WIWisconsin Indiv,recAO4neLd050qPF5,Only 1 State(s): WI
Virginia Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrecgY4zH9vr4lGhNR-312730-VAVirginia Indivi,CHIR_IDrecgY4zH9vr4lGhNR-312730-VAVirginia Indivi,recgY4zH9vr4lGhNR,Only 1 State(s): VA
Washington Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrec83ZezUgTosc1SG-312731-WAWashington Indi,CHIR_IDrec83ZezUgTosc1SG-312731-WAWashington Indi,rec83ZezUgTosc1SG,Only 1 State(s): WA
UnitedHealthcare Traditional 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecwwOdnkygdVvZN4-137653-AKUnitedHealthcar,CHIR_IDrecwwOdnkygdVvZN4-137653-AKUnitedHealthcar,recwwOdnkygdVvZN4,All States
UnitedHealthcare Traditional 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecdFcsBCD8yKC1Px-137654-AKUnitedHealthcar,CHIR_IDrecdFcsBCD8yKC1Px-137654-AKUnitedHealthcar,recdFcsBCD8yKC1Px,All States
United Healthcare Prescription Drug List (Health Plan),CHIR_IDreca2lnlupkzA6Xmz-137631-AKUnited Healthca,CHIR_IDreca2lnlupkzA6Xmz-137631-AKUnited Healthca,reca2lnlupkzA6Xmz,All States
Texas Individual and Family Plans Prescription Drug List (Health Plan),CHIR_IDrecMliLIMYl7CeMVO-312728-TXTexas Individua,CHIR_IDrecMliLIMYl7CeMVO-312728-TXTexas Individua,recMliLIMYl7CeMVO,Only 1 State(s): TX
Tennessee Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrecL5UtIq1nsV1wDE-312725-TNTennessee Indiv,CHIR_IDrecL5UtIq1nsV1wDE-312725-TNTennessee Indiv,recL5UtIq1nsV1wDE,Only 1 State(s): TN
Pharmacy Benefit Supply Limits Per Duration (Health Plan),CHIR_IDrecKF3V8AZuQdoIPP-154928-AKPharmacy Benefi,CHIR_IDrecKF3V8AZuQdoIPP-154928-AKPharmacy Benefi,recKF3V8AZuQdoIPP,All States
South Carolina Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrecKpxmFrfHCNWe4Y-336232-SCSouth Carolina ,CHIR_IDrecKpxmFrfHCNWe4Y-336232-SCSouth Carolina ,recKpxmFrfHCNWe4Y,Only 1 State(s): SC
Oklahoma Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrec7BaReQnQk3qxSS-312724-OKOklahoma Indivi,CHIR_IDrec7BaReQnQk3qxSS-312724-OKOklahoma Indivi,rec7BaReQnQk3qxSS,Only 1 State(s): OK
North Carolina Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrecwvP1HxE3IDl5zJ-312719-NCNorth Carolina ,CHIR_IDrecwvP1HxE3IDl5zJ-312719-NCNorth Carolina ,recwvP1HxE3IDl5zJ,Only 1 State(s): NC
Ohio Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrecwrLsCSCnl03lHI-312722-OHOhio Individual,CHIR_IDrecwrLsCSCnl03lHI-312722-OHOhio Individual,recwrLsCSCnl03lHI,Only 1 State(s): OH
New Mexico Essential Small Group 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecx8OQSr9C6Auoo7-289024-NMNew Mexico Esse,CHIR_IDrecx8OQSr9C6Auoo7-289024-NMNew Mexico Esse,recx8OQSr9C6Auoo7,Only 1 State(s): NM
New Mexico Essential Plus Prescription Drug List (Health Plan),CHIR_IDrec8yFb6FSYOt8MA1-336229-NMNew Mexico Esse,CHIR_IDrec8yFb6FSYOt8MA1-336229-NMNew Mexico Esse,rec8yFb6FSYOt8MA1,Only 1 State(s): NM
New Mexico Access Large Group 4-Tier Prescription Drug List (Health Plan),CHIR_IDrechWhLNq0KcHdVDT-287366-NMNew Mexico Acce,CHIR_IDrechWhLNq0KcHdVDT-287366-NMNew Mexico Acce,rechWhLNq0KcHdVDT,Only 1 State(s): NM
New Mexico Access Large Group 3-Tier Prescription Drug List (Health Plan),CHIR_IDrec5VTv2yXWbVosEN-287365-NMNew Mexico Acce,CHIR_IDrec5VTv2yXWbVosEN-287365-NMNew Mexico Acce,rec5VTv2yXWbVosEN,Only 1 State(s): NM
New Jersey Essential Plus Prescription Drug List (Health Plan),CHIR_IDrecUSRkewczmWLSy1-336230-NJNew Jersey Esse,CHIR_IDrecUSRkewczmWLSy1-336230-NJNew Jersey Esse,recUSRkewczmWLSy1,Only 1 State(s): NJ
Nebraska Prescription Drug List (Health Plan),CHIR_IDrecHNVomQT8wkozJk-359382-NENebraska Prescr,CHIR_IDrecHNVomQT8wkozJk-359382-NENebraska Prescr,recHNVomQT8wkozJk,Only 1 State(s): NE
Mississippi Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrechPabcCneSitZdv-312715-MSMississippi Ind,CHIR_IDrechPabcCneSitZdv-312715-MSMississippi Ind,rechPabcCneSitZdv,Only 1 State(s): MS
Missouri Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrec4EwSge9ROzuhSB-312717-MOMissouri Indivi,CHIR_IDrec4EwSge9ROzuhSB-312717-MOMissouri Indivi,rec4EwSge9ROzuhSB,Only 1 State(s): MO
Maryland Individual and Family Plans Prescription Drug List (Health Plan),CHIR_IDrecio5DHHGeq7gKbv-312711-MDMaryland Indivi,CHIR_IDrecio5DHHGeq7gKbv-312711-MDMaryland Indivi,recio5DHHGeq7gKbv,Only 1 State(s): MD
Michigan Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrecNd9sXw85fybCRL-312713-MIMichigan Indivi,CHIR_IDrecNd9sXw85fybCRL-312713-MIMichigan Indivi,recNd9sXw85fybCRL,Only 1 State(s): MI
Louisiana Individual and Family Plans Prescription Drug List (Health Plan),CHIR_IDrec8XSHiCRQthI5a8-312709-LALouisiana Indiv,CHIR_IDrec8XSHiCRQthI5a8-312709-LALouisiana Indiv,rec8XSHiCRQthI5a8,Only 1 State(s): LA
Iowa Prescription Drug List (Health Plan),CHIR_IDrecg6ToI2JzxCj7LP-359381-IAIowa Prescripti,CHIR_IDrecg6ToI2JzxCj7LP-359381-IAIowa Prescripti,recg6ToI2JzxCj7LP,Only 1 State(s): IA
Kansas Individual and Family Plans Prescription Drug List (Health Plan),CHIR_IDrecH05mjmI3hLaYLs-312706-KSKansas Individu,CHIR_IDrecH05mjmI3hLaYLs-312706-KSKansas Individu,recH05mjmI3hLaYLs,Only 1 State(s): KS
Individual and Family Plans Diabetic Supply List (Health Plan),CHIR_IDrecucZNkBkZCgYUFJ-359363-ALIndividual and ,CHIR_IDrecucZNkBkZCgYUFJ-359363-ALIndividual and ,recucZNkBkZCgYUFJ,Multiple States
Indiana Prescription Drug List (Health Plan),CHIR_IDrec9NQl5xGDHs0pSY-359377-INIndiana Prescri,CHIR_IDrec9NQl5xGDHs0pSY-359377-INIndiana Prescri,rec9NQl5xGDHs0pSY,Only 1 State(s): IN
Florida Individual and Family Plans Prescription Drug List (Health Plan),CHIR_IDreccyWNrBQqCms0Pz-312697-FLFlorida Individ,CHIR_IDreccyWNrBQqCms0Pz-312697-FLFlorida Individ,reccyWNrBQqCms0Pz,Only 1 State(s): FL
Georgia Individual and Family Plans Prescription Drug List (Health Plan),CHIR_IDrecSsWcZAatidaW6j-312699-GAGeorgia Individ,CHIR_IDrecSsWcZAatidaW6j-312699-GAGeorgia Individ,recSsWcZAatidaW6j,Only 1 State(s): GA
Federal Guided Preventive Drug List (Health Plan),CHIR_IDrec5woywck7ekxIed-289033-AKFederal Guided ,CHIR_IDrec5woywck7ekxIed-289033-AKFederal Guided ,rec5woywck7ekxIed,All States
Core Plus Preventive Drug List (Health Plan),CHIR_IDrecrXDC46nQMGOeCw-289031-AKCore Plus Preve,CHIR_IDrecrXDC46nQMGOeCw-289031-AKCore Plus Preve,recrXDC46nQMGOeCw,All States
Expanded Preventive Drug List (Health Plan),CHIR_IDrecrt1rXL8Jx0ZMsr-289032-AKExpanded Preven,CHIR_IDrecrt1rXL8Jx0ZMsr-289032-AKExpanded Preven,recrt1rXL8Jx0ZMsr,All States
2025 Surest Advantage 3-Tier Prescription Drug List,CHIR_IDrec0C0Rk84nc7DLHB-361532-CA2025 Surest Adv,CHIR_IDrec0C0Rk84nc7DLHB-361532-CA2025 Surest Adv,rec0C0Rk84nc7DLHB,Only 1 State(s): CA
Access 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecPBXFEdyXlJ3bKT-229114-AKAccess 3-Tier P,CHIR_IDrecPBXFEdyXlJ3bKT-229114-AKAccess 3-Tier P,recPBXFEdyXlJ3bKT,All States
Access 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecpCcBOfuoorRU40-229117-AKAccess 4-Tier P,CHIR_IDrecpCcBOfuoorRU40-229117-AKAccess 4-Tier P,recpCcBOfuoorRU40,All States
Alabama Individual and Family Plans Prescription Drug List (Health Plan),CHIR_IDrec8W4DV2YP3FaiEY-312692-ALAlabama Individ,CHIR_IDrec8W4DV2YP3FaiEY-312692-ALAlabama Individ,rec8W4DV2YP3FaiEY,Only 1 State(s): AL
Arizona Individual & Family Plans Prescription Drug List (Health Plan),CHIR_IDrecvEhdfBTfvpN6I8-312694-AZArizona Individ,CHIR_IDrecvEhdfBTfvpN6I8-312694-AZArizona Individ,recvEhdfBTfvpN6I8,Only 1 State(s): AZ
California Access Large Group 3-Tier HMO and PPO Prescription Drug List (Health Plan),CHIR_IDrecW6OGt16cx9nz7e-267551-CACalifornia Acce,CHIR_IDrecW6OGt16cx9nz7e-267551-CACalifornia Acce,recW6OGt16cx9nz7e,Only 1 State(s): CA
California Access Large Group 3-Tier PPO Prescription Drug List (Health Plan),CHIR_IDrecMoXIwPwmiBNsUa-227753-CACalifornia Acce,CHIR_IDrecMoXIwPwmiBNsUa-227753-CACalifornia Acce,recMoXIwPwmiBNsUa,Only 1 State(s): CA
California Access Large Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),CHIR_IDrecMv3O9c0q911gKP-267552-CACalifornia Acce,CHIR_IDrecMv3O9c0q911gKP-267552-CACalifornia Acce,recMv3O9c0q911gKP,Only 1 State(s): CA
California Access Large Group 4-Tier PPO Prescription Drug List (Health Plan),CHIR_IDrec29Fi3ZLrvFx8Gu-227755-CACalifornia Acce,CHIR_IDrec29Fi3ZLrvFx8Gu-227755-CACalifornia Acce,rec29Fi3ZLrvFx8Gu,Only 1 State(s): CA
California Advantage Large Group 3-Tier HMO and PPO Prescription Drug List (Health Plan),CHIR_IDrech72VW0dP8F2gfV-269770-CACalifornia Adva,CHIR_IDrech72VW0dP8F2gfV-269770-CACalifornia Adva,rech72VW0dP8F2gfV,Only 1 State(s): CA
California Advantage Large Group 3-Tier PPO Prescription Drug List (Health Plan),CHIR_IDrec5RYmCxLrtTl1gV-173031-CACalifornia Adva,CHIR_IDrec5RYmCxLrtTl1gV-173031-CACalifornia Adva,rec5RYmCxLrtTl1gV,Only 1 State(s): CA
California Advantage Large Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),CHIR_IDrecuEaOn75poIHbWa-269771-CACalifornia Adva,CHIR_IDrecuEaOn75poIHbWa-269771-CACalifornia Adva,recuEaOn75poIHbWa,Only 1 State(s): CA
California Advantage Large Group 4-Tier PPO Prescription Drug List (Health Plan),CHIR_IDrecxS0QXaszZLmsJ5-173032-CACalifornia Adva,CHIR_IDrecxS0QXaszZLmsJ5-173032-CACalifornia Adva,recxS0QXaszZLmsJ5,Only 1 State(s): CA
California Large Group 4-Tier Essential HMO and PPO Prescription Drug List (Health Plan),CHIR_IDrecxpfyB748fnOumn-267553-CACalifornia Larg,CHIR_IDrecxpfyB748fnOumn-267553-CACalifornia Larg,recxpfyB748fnOumn,Only 1 State(s): CA
California Small Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),CHIR_IDrec2NEXwneyFj4Q5A-269769-CACalifornia Smal,CHIR_IDrec2NEXwneyFj4Q5A-269769-CACalifornia Smal,rec2NEXwneyFj4Q5A,Only 1 State(s): CA
California Small Group 4-Tier PPO Prescription Drug List (Health Plan),CHIR_IDrecJNdJKgv9IWYs3d-151908-CACalifornia Smal,CHIR_IDrecJNdJKgv9IWYs3d-151908-CACalifornia Smal,recJNdJKgv9IWYs3d,Only 1 State(s): CA
Connecticut Access 3 Tier Prescription Drug List (Health Plan),CHIR_IDrecMcxYMYHBOrJ0Yk-229148-CTConnecticut Acc,CHIR_IDrecMcxYMYHBOrJ0Yk-229148-CTConnecticut Acc,recMcxYMYHBOrJ0Yk,Only 1 State(s): CT
Connecticut Advantage 3 Tier Prescription Drug List (Health Plan),CHIR_IDrecHUCFpBnc0Xgkpp-229145-CTConnecticut Adv,CHIR_IDrecHUCFpBnc0Xgkpp-229145-CTConnecticut Adv,recHUCFpBnc0Xgkpp,Only 1 State(s): CT
