Document Title,uuid_formula,UUID_dupe,airtable_record_id,New State Grouping
Cigna Plus 5-Tier Prescription Drug List (TX Health Plan),CHIR_IDrec897RxDNvGubkQq-315719-TXCigna Plus 5-Ti,CHIR_IDrec897RxDNvGubkQq-315719-TXCigna Plus 5-Ti,rec897RxDNvGubkQq,Only 1 State(s): TX
Cigna Premiere 4-Tier Prescription Drug List (AZ Health Plan),CHIR_IDrec7AIzuLz4CznuBE-315720-AZCigna Premiere ,CHIR_IDrec7AIzuLz4CznuBE-315720-AZCigna Premiere ,rec7AIzuLz4CznuBE,Only 1 State(s): AZ
Cigna Rx Essential 5-Tier Prescription Drug List (CO Health Plan),CHIR_IDrecu6kCoiBjWI3ilg-199851-COCigna Rx Essent,CHIR_IDrecu6kCoiBjWI3ilg-199851-COCigna Rx Essent,recu6kCoiBjWI3ilg,Only 1 State(s): CO
Cigna Premiere 4-Tier Prescription Drug List (IN Health Plan),CHIR_IDrecsjld1rrbq7890t-315724-INCigna Premiere ,CHIR_IDrecsjld1rrbq7890t-315724-INCigna Premiere ,recsjld1rrbq7890t,Only 1 State(s): IN
Cigna Rx Plus 5-Tier Prescription Drug List (FL Health Plan),CHIR_IDrecSGoB9fMDWK7rxb-199852-FLCigna Rx Plus 5,CHIR_IDrecSGoB9fMDWK7rxb-199852-FLCigna Rx Plus 5,recSGoB9fMDWK7rxb,Only 1 State(s): FL
Cigna Plus 5-Tier Prescription Drug List (GA Health Plan),CHIR_IDrecHyYRqsK42c4Ufu-290261-GACigna Plus 5-Ti,CHIR_IDrecHyYRqsK42c4Ufu-290261-GACigna Plus 5-Ti,recHyYRqsK42c4Ufu,Only 1 State(s): GA
Cigna Rx Plus 5-Tier Prescription Drug List (NC Health Plan),CHIR_IDrecl7DpdEpmQtYnyD-199855-NCCigna Rx Plus 5,CHIR_IDrecl7DpdEpmQtYnyD-199855-NCCigna Rx Plus 5,recl7DpdEpmQtYnyD,Only 1 State(s): NC
Cigna Rx Premiere 5-Tier Prescription Drug List (AZ Health Plan),CHIR_IDrec1TkkGpQ2uF6bDK-199850-AZCigna Rx Premie,CHIR_IDrec1TkkGpQ2uF6bDK-199850-AZCigna Rx Premie,rec1TkkGpQ2uF6bDK,Only 1 State(s): AZ
Cigna Rx Premiere 5-Tier Prescription Drug List (VA Health Plan),CHIR_IDrecXN4ilDVIJsIlsy-199858-VACigna Rx Premie,CHIR_IDrecXN4ilDVIJsIlsy-199858-VACigna Rx Premie,recXN4ilDVIJsIlsy,Only 1 State(s): VA
Cigna Plus 4-Tier Prescription Drug List (NC Health Plan),CHIR_IDreciy9B9sDXpr2Dqs-315728-NCCigna Plus 4-Ti,CHIR_IDreciy9B9sDXpr2Dqs-315728-NCCigna Plus 4-Ti,reciy9B9sDXpr2Dqs,Only 1 State(s): NC
Cigna Plus 4-Tier Prescription Drug List (IL Health Plan),CHIR_IDrec1IHz2OOJpSBvYd-315723-ILCigna Plus 4-Ti,CHIR_IDrec1IHz2OOJpSBvYd-315723-ILCigna Plus 4-Ti,rec1IHz2OOJpSBvYd,Only 1 State(s): IL
Cigna Plus 4-Tier Prescription Drug List (TN Health Plan),CHIR_IDrecIwMlQXmgXLizkc-315730-TNCigna Plus 4-Ti,CHIR_IDrecIwMlQXmgXLizkc-315730-TNCigna Plus 4-Ti,recIwMlQXmgXLizkc,Only 1 State(s): TN
Cigna Plus 4-Tier Prescription Drug List (MS Health Plan),CHIR_IDrecO8bdAH1bLHKmce-315727-MSCigna Plus 4-Ti,CHIR_IDrecO8bdAH1bLHKmce-315727-MSCigna Plus 4-Ti,recO8bdAH1bLHKmce,Only 1 State(s): MS
Cigna Plus 4-Tier Prescription Drug List (TX Health Plan),CHIR_IDrecprZRTEFB3PlkdA-315731-TXCigna Plus 4-Ti,CHIR_IDrecprZRTEFB3PlkdA-315731-TXCigna Plus 4-Ti,recprZRTEFB3PlkdA,Only 1 State(s): TX
Cigna Rx Plus 5-Tier Prescription Drug List (TN Health Plan),CHIR_IDrecFuxI7QC0T0swLz-199856-TNCigna Rx Plus 5,CHIR_IDrecFuxI7QC0T0swLz-199856-TNCigna Rx Plus 5,recFuxI7QC0T0swLz,Only 1 State(s): TN
Cigna HealthCare Premiere 4-Tier Prescription Drug List (VA Health Plan),CHIR_IDrecABP8O2d7rCsqhL-342579-VACigna HealthCar,CHIR_IDrecABP8O2d7rCsqhL-342579-VACigna HealthCar,recABP8O2d7rCsqhL,Only 1 State(s): VA
Cigna Rx Plus 5-Tier Prescription Drug List (IL Health Plan),CHIR_IDrectUEMNRDRT1oaFG-199853-ILCigna Rx Plus 5,CHIR_IDrectUEMNRDRT1oaFG-199853-ILCigna Rx Plus 5,rectUEMNRDRT1oaFG,Only 1 State(s): IL
Cigna Plus 5-Tier Prescription Drug List (MS Health Plan),CHIR_IDrec6K8dDay3YQXC4r-290262-MSCigna Plus 5-Ti,CHIR_IDrec6K8dDay3YQXC4r-290262-MSCigna Plus 5-Ti,rec6K8dDay3YQXC4r,Only 1 State(s): MS
Cigna Premiere 5-Tier Prescription Drug List (IN Health Plan),CHIR_IDrecubku9V573IgvWv-315717-INCigna Premiere ,CHIR_IDrecubku9V573IgvWv-315717-INCigna Premiere ,recubku9V573IgvWv,Only 1 State(s): IN
Cigna Plus 4-Tier Prescription Drug List (FL Health Plan),CHIR_IDrecd4qtuaL8eFOiQO-315721-FLCigna Plus 4-Ti,CHIR_IDrecd4qtuaL8eFOiQO-315721-FLCigna Plus 4-Ti,recd4qtuaL8eFOiQO,Only 1 State(s): FL
Cigna National 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrec3JRUHq6kAMUXBe-268519-CACigna National ,CHIR_IDrec3JRUHq6kAMUXBe-268519-CACigna National ,rec3JRUHq6kAMUXBe,Only 1 State(s): CA
Cigna National 3-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecx3sTGQuwDRV5AK-268520-CACigna National ,CHIR_IDrecx3sTGQuwDRV5AK-268520-CACigna National ,recx3sTGQuwDRV5AK,Only 1 State(s): CA
Standard Plus Plan Generics and Preferred Brands Drug List for the National Preferred Drug List (Health Plan),CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,recLeYx1W3KeMjAbG,All States
Cigna Advantage 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrectHaioBXOsI6cqX-268501-CACigna Advantage,CHIR_IDrectHaioBXOsI6cqX-268501-CACigna Advantage,rectHaioBXOsI6cqX,Only 1 State(s): CA
Cigna Advantage 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDreco8dzvWMiavZF7e-268500-CACigna Advantage,CHIR_IDreco8dzvWMiavZF7e-268500-CACigna Advantage,reco8dzvWMiavZF7e,Only 1 State(s): CA
Cigna Performance 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrec5boxnyE0YH8kjB-268497-CACigna Performan,CHIR_IDrec5boxnyE0YH8kjB-268497-CACigna Performan,rec5boxnyE0YH8kjB,Only 1 State(s): CA
Cigna Performance 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecsyKu9FxwVFcOyd-268498-CACigna Performan,CHIR_IDrecsyKu9FxwVFcOyd-268498-CACigna Performan,recsyKu9FxwVFcOyd,Only 1 State(s): CA
